cik,sic,sic_description,company_name,ticker
0001281761,6021,NATIONAL COMMERCIAL BANKS,REGIONS FINANCIAL CORP,RF
0001285224,6022,STATE COMMERCIAL BANKS,WILSHIRE BANCORP INC,WIBC
0001288855,6021,NATIONAL COMMERCIAL BANKS,"OptimumBank Holdings, Inc.",OPHC
0001289701,6021,NATIONAL COMMERCIAL BANKS,"Mercantile Bancorp, Inc.",
0001290476,6022,STATE COMMERCIAL BANKS,Village Bank & Trust Financial Corp.,VBFC
0001295401,6021,NATIONAL COMMERCIAL BANKS,"Bancorp, Inc.",
0001302324,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",PRUDENTIAL BANCORP INC OF PENNSYLVANIA,PBIP
0001304740,6021,NATIONAL COMMERCIAL BANKS,Bridge Capital Holdings,BBNK
0001315399,6022,STATE COMMERCIAL BANKS,"PARKE BANCORP, INC.",PKBK
0001319327,6021,NATIONAL COMMERCIAL BANKS,Encore Bancshares Inc,EBTX
0001323033,6022,STATE COMMERCIAL BANKS,"Tennessee Commerce Bancorp, Inc.",TNCC
0001323648,6022,STATE COMMERCIAL BANKS,Community Bankers Trust Corp,
0001324410,6022,STATE COMMERCIAL BANKS,Guaranty Bancorp,GBNK
0001325670,6022,STATE COMMERCIAL BANKS,Southern National Bancorp of Virginia Inc,SONA
0001326807,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",Investors Bancorp Inc,ISBC
0001329517,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",WATERSTONE FINANCIAL INC,WSBF
0001331520,6022,STATE COMMERCIAL BANKS,HOME BANCSHARES INC,HOMB
0001337068,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","Magyar Bancorp, Inc.",MGYR
0001343034,6022,STATE COMMERCIAL BANKS,TWO RIVER BANCORP,
0001355786,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","CHICOPEE BANCORP, INC.",
0001358356,6021,NATIONAL COMMERCIAL BANKS,"LIMESTONE BANCORP, INC.",
0001364856,6022,STATE COMMERCIAL BANKS,"Monarch Financial Holdings, Inc.",MNRK
0001365997,6021,NATIONAL COMMERCIAL BANKS,Bank of the Carolinas CORP,BCAR
0001366367,6022,STATE COMMERCIAL BANKS,YADKIN FINANCIAL Corp,
0001370291,6022,STATE COMMERCIAL BANKS,"First California Financial Group, Inc.",FCAL
0001373525,6022,STATE COMMERCIAL BANKS,"FIRST CAPITAL BANCORP, INC.",
0001375320,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","Hampden Bancorp, Inc.",HBNK
0001378946,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","People's United Financial, Inc.",PBCT
0001390312,6022,STATE COMMERCIAL BANKS,"Bancorp of New Jersey, Inc.",BKJ
0001390777,6022,STATE COMMERCIAL BANKS,Bank of New York Mellon Corp,BK
0001391137,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",BCSB Bancorp Inc.,
0001393612,6141,PERSONAL CREDIT INSTITUTIONS,Discover Financial Services,DFS
0001399315,6022,STATE COMMERCIAL BANKS,MARSHALL & ILSLEY CORP,MI
0001403475,6022,STATE COMMERCIAL BANKS,Bank of Marin Bancorp,BMRC
0001411974,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",MERIDIAN INTERSTATE BANCORP INC,EBSB
0001412665,6022,STATE COMMERCIAL BANKS,"MidWestOne Financial Group, Inc.",MOFG
0001413440,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","Home Federal Bancorp, Inc.",
0001415277,6022,STATE COMMERCIAL BANKS,"1st United Bancorp, Inc.",FUBC
0001431567,6022,STATE COMMERCIAL BANKS,Oak Valley Bancorp,OVLY
0001448301,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",Anchor Bancorp,ANCB
0001448324,6021,NATIONAL COMMERCIAL BANKS,Cornerstone Financial Corp,
0001487052,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","LegacyTexas Financial Group, Inc.",LTXB
0001497275,6022,STATE COMMERCIAL BANKS,STATE BANK FINANCIAL CORP,STBZ
0001501364,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","United Financial Bancorp, Inc.",UBNK
0001504008,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","BankUnited, Inc.",BKU
0001507277,6022,STATE COMMERCIAL BANKS,Park Sterling Corp,PSTB
0001511198,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","First Connecticut Bancorp, Inc.",FBNK
